时间,开盘,最高,最低,收盘,成交量,持仓量,涨跌,涨跌幅,成交额,MA5,MA10,MA20,MA60,EMA20,ATR14,RSI14,MACD,MACD_SIGNAL,MACD_HIST,BOLL_UP,BOLL_LOW,BOLL_MID,BOLL_WIDTH,KDJ_K,KDJ_D,KDJ_J,WILLIAMS_R14,CCI20,STOCH_RSI,VOL_MA20,OBV,OI_MA20,OI_CHANGE,OI_CHANGE_PCT,动态结算价
2024-08-14,13675,13705,13535,13565,137024,155021,,,,13718.0,13866.0,13891.0,14080.166666666666,13869.708866280078,163.57142857142858,40.29126213592233,-81.75983999728851,-46.397561666163995,-35.362278331124514,14194.09977513059,13587.90022486941,13891.0,606.199550261179,14.533964427843623,26.17616614337465,-8.750439003218432,-95.2755905511811,-108.62246112613018,25.66266925986293,149325.6,452744,112704.7,5450.0,3.6437544711207304,
2024-08-15,13565,13690,13495,13620,129223,156518,,,,13682.0,13817.5,13880.25,14058.833333333334,13845.9270694915,165.35714285714286,37.87878787878788,-91.33521418627788,-55.38509217018678,-35.9501220160911,14206.108784396592,13554.391215603408,13880.25,651.7175687931849,15.954973778963417,22.76910202190424,2.3267172930817708,-81.48148148148148,-94.58086557605533,15.79624304685132,149345.0,581967,112376.8,1497.0,0.9656756181420478,
2024-08-16,13650,13695,13615,13655,113523,154001,,,,13649.0,13771.5,13872.25,14044.333333333334,13827.743539063738,158.92857142857142,34.22459893048128,-95.00440804732352,-63.30895534561413,-31.695452701709392,14212.396640204057,13532.103359795943,13872.25,680.2932804081138,20.160458709785132,21.89955425119787,16.682267626959657,-76.29629629629629,-71.12044909404484,0.8515092242013245,146427.5,695490,111921.7,-2517.0,-1.608121749575131,
2024-08-19,13635,13790,13585,13735,151050,147385,,,,13650.0,13738.5,13866.5,14029.25,13818.910821057669,162.14285714285714,41.23711340206185,-90.41469488378243,-68.73010325324779,-21.68459163053464,14212.075035648064,13520.924964351936,13866.5,691.1500712961279,29.935151167348163,24.578086556581297,40.64928038888189,-64.44444444444444,-52.02154002664606,29.53096824719969,147136.15,846540,111459.7,-6616.0,-4.296075999506499,
2024-08-20,13730,13760,13640,13655,108582,149322,,,,13646.0,13714.0,13847.5,14011.75,13803.300266671224,155.35714285714286,25.714285714285722,-92.17016525555482,-73.41811565370921,-18.752049601845613,14195.841937273079,13499.158062726921,13847.5,696.6838745461573,32.65518014331147,27.270451085491356,43.424638258951695,-76.29629629629629,-52.171371424843315,0.0,141167.7,737958,111533.3,1937.0,1.3142450045798393,
2024-08-21,13690,13830,13675,13825,143167,142417,,,,13698.0,13708.0,13835.5,13997.333333333334,13805.36690794063,159.64285714285714,36.27450980392157,-78.9339079655656,-74.52127411608049,-4.412633849485104,14168.491227954642,13502.508772045358,13835.5,665.9824559092849,49.270120095540975,34.60367408884123,78.60301210894048,-50.37593984962406,-20.739163173237294,32.925999899777345,140442.85,881125,111901.25,-6905.0,-4.624234874968192,
2024-08-22,13825,13835,13705,13710,130127,133761,,,,13716.0,13699.0,13832.75,13979.583333333334,13796.284345279619,156.78571428571428,32.0,-76.83787837408818,-74.98459496768203,-1.853283406406149,14169.084341799477,13496.415658200523,13832.75,672.6686835989531,51.22281510642903,40.1433877613705,73.38166979654609,-67.66917293233082,-27.25698225978472,22.171241294551386,133644.2,750998,112024.05,-8656.0,-6.077926090284169,
2024-08-23,13700,13750,13655,13730,110818,125033,,,,13731.0,13690.0,13826.25,13963.666666666666,13789.971550491084,153.21428571428572,34.70319634703196,-72.72460301467981,-74.53259657708159,1.8079935624017764,14165.380079064536,13487.119920935464,13826.25,678.2601581290728,57.18775909056053,45.82484487110051,79.9135875294806,-58.035714285714285,-36.543478327465486,32.451680266935995,130817.2,861816,112347.25,-8728.0,-6.525070835295788,
2024-08-26,13750,13825,13700,13810,119248,104606,,,,13746.0,13698.0,13819.25,13950.333333333334,13791.879021872886,148.21428571428572,45.54455445544555,-62.29141459332277,-72.08436018032982,9.792945587007054,14153.367454922985,13485.132545077015,13819.25,668.2349098459708,69.00752566821681,53.552405136805945,99.91776673103854,-35.05154639175258,-13.527265633111748,75.39497707983679,129092.6,981064,112091.55,-20427.0,-16.337286956243545,
2024-08-27,13805,13925,13800,13910,128231,91689,,,,13797.0,13721.5,13819.5,13940.75,13803.128638837374,147.14285714285714,51.141552511415526,-45.43018247296277,-66.75352463885642,21.32334216589365,14153.89497603882,13485.10502396118,13819.5,668.7899520776409,78.17555974780345,61.76012334047178,111.00643256246678,-3.488372093023256,19.097881408338505,100.0,127464.4,1109295,111433.5,-12917.0,-12.348240062711513,
