时间,开盘,最高,最低,收盘,成交量,持仓量,涨跌,涨跌幅,成交额,MA5,MA10,MA20,MA60,EMA20,ATR14,RSI14,MACD,MACD_SIGNAL,MACD_HIST,BOLL_UP,BOLL_LOW,BOLL_MID,BOLL_WIDTH,KDJ_K,KDJ_D,KDJ_J,WILLIAMS_R14,CCI20,STOCH_RSI,VOL_MA20,OBV,OI_MA20,OI_CHANGE,OI_CHANGE_PCT,index,symbol,date,turnover,settle,pre_settle,variety
2021-07-20,22295.0,22615.0,22280.0,22545,135976,95207,,,,22323.0,22269.5,22113.75,22282.666666666668,22232.88135579051,333.2142857142857,64.64646464646464,45.96678720397904,-12.114721067610105,58.08150827158914,22628.87773071091,21598.62226928909,22113.75,1030.255461421817,68.73277756502577,59.88281876339488,86.43269516828755,-16.216216216216218,81.17618176107409,74.36871653953038,179903.95,31485367,88941.35,8463.0,9.756294383473207,,,,,,,
2021-07-21,22440.0,22600.0,22095.0,22170,161467,77200,,,,22361.0,22251.5,22131.25,22296.083333333332,22226.892655239033,348.57142857142856,49.76635514018691,34.44500562748726,-2.802775728590632,37.247781356077894,22627.805238884015,21634.694761115985,22131.25,993.1104777680303,60.236266124431594,60.00063455040712,60.70752927248053,-56.75675675675676,36.19449177697458,32.71497779522806,180498.2,31323900,90188.5,-18007.0,-18.913525265999354,,,,,,,
2021-07-22,22175.0,22225.0,22105.0,22185,105653,67264,,,,22372.0,22251.0,22156.0,22309.5,22222.9028785496,337.85714285714283,54.13533834586465,26.222014299724833,3.0021822770724613,23.219832022652373,22607.227565414032,21704.772434585968,22156.0,902.4551308280643,55.11246570457602,58.37124493513009,48.59490724346787,-55.13513513513514,5.827285200233011,33.59343947127273,180083.8,31429553,91367.8,-9936.0,-12.870466321243523,,,,,,,
2021-07-23,22150.0,22325.0,22060.0,22210,128029,55502,,,,22321.0,22236.0,22178.5,22315.0,22221.67403297345,320.0,50.27173913043478,21.474975347209693,6.696740891099908,14.778234456109786,22589.686985253797,21767.313014746203,22178.5,822.3739705075932,53.69732781075781,56.813272560339335,47.46543831159475,-52.432432432432435,8.563232621959814,20.548130463633495,177192.65,31557582,89352.8,-11762.0,-17.486322549952426,,,,,,,
2021-07-26,22270.0,22540.0,22210.0,22375,123676,42160,,,,22297.0,22255.0,22210.0,22317.333333333332,22236.276506023598,326.42857142857144,52.09424083769634,30.673449383302795,11.492082589540486,19.181366793762308,22575.3260980203,21844.6739019797,22210.0,730.6521960406026,59.112284051102506,57.57960972392706,62.177632705453405,-34.5945945945946,50.37100063580384,26.701744390054127,172072.05,31681258,86419.35,-13342.0,-24.03877337753595,,,,,,,
2021-07-27,22395.0,22685.0,22330.0,22375,198355,103796,,,,22263.0,22293.0,22233.5,22321.333333333332,22249.488267354685,320.0,50.673854447439346,37.530676056783705,16.69980128298913,20.830874773794573,22575.96936090386,21891.03063909614,22233.5,684.9387218077172,61.26004121925352,58.80642022236921,66.16728321302213,-34.5945945945946,70.24357174924647,3.7755112057154836,172821.05,31681258,86503.15,61636.0,146.1954459203036,,,,,,,
2021-07-28,22395.0,22410.0,22215.0,22240,159144,100943,,,,22277.0,22319.0,22247.25,22320.916666666668,22248.584622844715,315.0,51.36612021857923,31.706216315989877,19.701084289589282,12.005132026400595,22565.559267024517,21928.940732975483,22247.25,636.6185340490338,50.44002747950235,56.017622641413595,39.28483715567984,-49.189189189189186,14.98986731662947,6.655576408393242,171150.85,31522114,86847.65,-2853.0,-2.748660834714245,,,,,,,
2021-07-29,22255.0,22380.0,22205.0,22360,164194,99014,,,,22312.0,22342.0,22256.25,22330.333333333332,22259.19561114522,308.57142857142856,50.0,36.35421832743668,23.031711097158762,13.322507230277921,22576.72456586822,21935.77543413178,22256.25,640.9491317364373,49.626684986334894,53.88731008972069,41.10543477956328,-36.21621621621622,20.846303828104396,1.3572343149808281,169713.85,31686308,86904.65,-1929.0,-1.9109794636577027,,,,,,,
2021-07-30,22305.0,22540.0,22290.0,22495,175083,105241,,,,22369.0,22345.0,22280.0,22338.333333333332,22281.65317198853,288.57142857142856,58.90804597701149,50.35075302782934,28.49551948329288,21.85523354453646,22597.141841087585,21962.858158912415,22280.0,634.2836821751698,56.28445665755659,54.68635894566599,59.48065208133781,-20.76502732240437,55.50575357919091,53.1037426229267,169874.45,31861391,87497.65,6227.0,6.289009635001119,,,,,,,
2021-08-02,22615.0,22700.0,22445.0,22570,213745,110860,,,,22408.0,22352.5,22298.5,22340.916666666668,22309.11477465629,289.2857142857143,67.6923076923077,66.72580724576983,36.14157703578827,30.584230209981556,22638.34671467249,21958.65328532751,22298.5,679.6934293449813,64.08547110503773,57.81939633212323,76.61762065086671,-13.978494623655914,84.72246676684824,100.0,167171.1,32075136,88194.45,5619.0,5.3391738961051205,,,,,,,
2021-08-03,22660.0,22665.0,22105.0,22120,223065,93012,,,,22357.0,22310.0,22289.75,22329.5,22291.103843736644,311.07142857142856,53.39805825242718,42.897421721409046,37.49274597291243,5.404675748496615,22638.861277690263,21940.638722309737,22289.75,698.2225553805256,45.84864740335849,53.82914668920165,29.88764883167218,-63.387978142076506,0.6823541982632548,20.259470740429954,170366.0,31852071,87923.9,-17848.0,-16.099585062240664,,,,,,,
2021-08-04,22020.0,22130.0,21960.0,22050,158540,89357,,,,22319.0,22298.0,22274.75,22321.75,22268.141572904584,297.5,47.97979797979798,18.15555361290899,33.625307500911745,-15.469753888002757,22638.43689541244,21911.06310458756,22274.75,727.3737908248804,34.61981898962638,47.426037456009894,9.007382056859356,-87.83783783783784,-68.51509209422441,0.0,167337.65,31693531,87397.9,-3655.0,-3.9296004816582797,,,,,,,
2021-08-05,22050.0,22180.0,21990.0,22090,153350,88086,,,,22265.0,22288.5,22269.75,22314.583333333332,22251.17570881843,280.35714285714283,38.87240356083086,1.754881406955974,27.25122228212059,-25.496340875164616,22641.01348991972,21898.48651008028,22269.75,742.5269798394365,28.935735182273444,41.262603364764416,4.281998817291495,-82.43243243243244,-53.54240541833549,0.0,166336.3,31846881,87167.15,-1271.0,-1.4223843683203286,,,,,,,
2021-08-06,22220.0,22600.0,22180.0,22580,200110,85662,,,,22282.0,22325.5,22280.75,22324.416666666668,22282.49230797858,301.07142857142856,51.98135198135198,27.973672340678604,27.395712293832197,0.5779600468464068,22675.562080548923,21885.937919451077,22280.75,789.6241610978468,47.21841804944356,43.24787492632413,55.15950429568241,-16.216216216216218,45.969353467641625,45.48574610351894,167619.45,32046991,86378.95,-2424.0,-2.751856140589881,,,,,,,
2021-08-09,22430.0,22500.0,22250.0,22395,154888,78530,,,,22247.0,22327.5,22291.25,22330.666666666668,22293.207326266333,300.7142857142857,46.71052631578947,33.43883706264387,28.604337247594533,4.8344998150493375,22686.509741382673,21895.990258617327,22291.25,790.5194827653468,51.0735399608903,45.85642993784619,61.50776000697854,-41.21621621621622,25.81652684625197,27.19690780094541,164934.95,31892103,85452.4,-7132.0,-8.325745371343185,,,,,,,
2021-08-10,22220.0,22450.0,22200.0,22430,140146,74581,,,,22309.0,22333.0,22313.0,22331.5,22306.235199955256,282.5,56.70103092783505,40.1316146987956,30.90979273783475,9.221821960960852,22686.918088412567,21939.081911587433,22313.0,747.8361768251343,55.220197811764706,48.97768589581902,67.70522164365607,-36.486486486486484,16.600700372502804,61.86220219772323,163376.7,32032249,84760.05,-3949.0,-5.028651470775502,,,,,,,
2021-08-11,22400.0,22545.0,22360.0,22520,127286,76049,,,,22403.0,22361.0,22340.0,22319.833333333332,22326.59375234047,287.14285714285717,58.312655086848636,52.097390741942945,35.14731233865639,16.950078403286554,22689.887199868157,21990.112800131843,22340.0,699.7743997363141,62.03869043306837,53.33135407490214,79.45336314940081,-24.324324324324323,46.51036890449102,67.45425466140019,160450.85,32159535,84334.35,1468.0,1.9683297354554208,,,,,,,
2021-08-12,22660.0,22820.0,22590.0,22795,167299,87671,,,,22544.0,22404.5,22373.25,22320.166666666668,22371.203871165188,289.64285714285717,62.913907284768214,82.81590598097318,44.68103106711975,38.13487491385344,22763.20647530408,21983.29352469592,22373.25,779.912950608159,73.72346804065023,60.12872539681817,100.91295332831436,-2.9069767441860463,112.60389749506574,83.4197907607869,160513.1,32326834,84836.8,11622.0,15.282252232113503,,,,,,,
